#{"t_start": 1591703714.7763894, "env_id": "gvgai-golddigger-lvl0-v0"}
r,l,t
0.0,52,31151.925731
70.0,2000,31420.16835
0.0,296,31460.130177
0.0,375,31511.761891
79.0,1289,31685.581951
41.0,2000,31955.196388
26.0,2000,32229.432533
121.0,2000,32505.172528
-5.0,32,32509.781541
10.0,1728,32763.342201
6.0,236,32801.086855
0.0,17,32803.809635
19.0,2000,33113.308471
46.0,616,33208.962376
56.0,1228,33400.893767
35.0,2000,33712.544478
-5.0,248,33752.358261
0.0,100,33768.245892
93.0,1300,33961.081864
-5.0,1428,34173.46671
-5.0,756,34285.387169
1.0,1000,34427.606055
-5.0,48,34434.086529
0.0,76,34444.249721
1.0,603,34524.528317
111.0,2000,34791.364085
0.0,26,34794.767781
0.0,422,34851.397859
0.0,39,34856.801585
3.0,375,34908.153692
0.0,868,35026.074732
0.0,400,35082.88978
0.0,175,35107.93717
0.0,152,35129.547803
0.0,1540,35347.916672
1.0,1341,35537.762139
25.0,988,35674.082087
0.0,100,35687.601674
0.0,1356,35871.338292
43.0,1676,36098.222198
0.0,204,36125.945689
1.0,1132,36294.030188
1.0,378,36350.095266
0.0,78,36362.068247
-5.0,42,36369.205605
0.0,330,36420.395413
0.0,260,36458.437776
33.0,1192,36641.977027
64.0,2000,36929.06682
-5.0,148,36949.165602
51.0,428,37007.66578
-5.0,375,37058.604065
-5.0,36,37063.829154
-5.0,451,37124.933487
37.0,688,37217.341006
29.0,2000,37486.438729
0.0,556,37561.586503
0.0,1069,37706.526014
42.0,596,37787.101254
0.0,572,37864.150494
0.0,28,37868.001724
0.0,136,37886.413642
0.0,114,37902.009807
0.0,141,37921.08752
57.0,579,37999.233677
0.0,702,38094.246515
42.0,211,38122.868247
-5.0,76,38133.210943
37.0,504,38201.40422
80.0,2000,38471.657643
-5.0,1640,38693.027119
0.0,24,38696.362282
0.0,128,38713.573624
0.0,1116,38863.218218
62.0,2000,39132.607061
39.0,180,39156.748022
0.0,1300,39342.57525
28.0,2000,39634.154948
0.0,1336,39825.874272
0.0,576,39904.739696
0.0,90,39916.940966
0.0,60,39925.274016
0.0,1604,40145.334175
-5.0,528,40217.933861
0.0,456,40280.169895
1.0,1156,40438.681933
26.0,2000,40708.614749
149.0,2000,40980.569196
98.0,1288,41154.797826
0.0,26,41158.528941
6.0,235,41190.743378
0.0,628,41275.597947
1.0,652,41363.601915
0.0,31,41367.581951
18.0,556,41443.006027
0.0,712,41539.225944
75.0,2000,41838.227864
-5.0,282,41882.131294
0.0,212,41915.385644
0.0,214,41947.375283
0.0,300,41992.749758
31.0,576,42080.021828
33.0,340,42132.985531
28.0,220,42167.50965
60.0,1369,42362.186079
0.0,70,42371.964155
73.0,669,42466.981339
0.0,134,42486.221377
13.0,72,42496.557564
0.0,902,42624.32525
-5.0,580,42706.64398
28.0,591,42790.420784
-5.0,215,42819.616524
48.0,696,42912.927446
0.0,32,42917.284061
9.0,248,42950.410511
0.0,24,42953.698874
81.0,984,43085.767128
25.0,154,43106.308209
-5.0,244,43139.373978
132.0,2000,43413.204005
33.0,104,43428.341675
94.0,993,43571.369708
19.0,204,43600.433748
88.0,495,43670.549695
79.0,1748,43917.832272
25.0,220,43949.354082
0.0,37,43954.997908
26.0,84,43967.057513
0.0,21,43969.988065
1.0,63,43979.09367
0.0,36,43984.29133
3.0,36,43989.886843
0.0,35,43994.609775
95.0,2000,44278.14846
36.0,164,44301.475592
0.0,19,44304.364964
61.0,217,44335.173631
0.0,76,44345.945758
0.0,17,44348.799537
0.0,44,44355.169622
0.0,36,44360.42748
0.0,18,44362.863487
75.0,1165,44527.749838
52.0,431,44589.325557
12.0,100,44603.785666
85.0,447,44669.38915
15.0,300,44713.578623
0.0,31,44718.281586
0.0,64,44727.713856
0.0,24,44731.38978
64.0,165,44755.197685
0.0,22,44758.269728
51.0,132,44777.501834
60.0,232,44811.408375
53.0,1095,44970.431352
